date,year,season_game,hometeam,homegoals,awaygoals,awayteam,coach,points,brann_goals,brann_conceded
23.04.1995,1995,1.0,Brann,0,6,Molde FK,Hallvar Thoresen,0,0,6
30.04.1995,1995,2.0,Kongsvinger IL,1,0,Brann,Hallvar Thoresen,0,0,1
03.05.1995,1995,3.0,Brann,1,1,Rosenborg,Hallvar Thoresen,1,1,1
07.05.1995,1995,4.0,Brann,4,1,Strindheim,Hallvar Thoresen,3,4,1
14.05.1995,1995,5.0,Viking FK,2,0,Brann,Hallvar Thoresen,0,0,2
16.05.1995,1995,6.0,Brann,1,1,Lillestrøm SK,Hallvar Thoresen,1,1,1
21.05.1995,1995,7.0,Stabæk Fotball,3,0,Brann,Hallvar Thoresen,0,0,3
28.05.1995,1995,8.0,Brann,4,1,HamKam,Hallvar Thoresen,3,4,1
02.06.1995,1995,9.0,Hødd IL,1,0,Brann,Hallvar Thoresen,0,0,1
11.06.1995,1995,10.0,Brann,4,2,Tromsø IL,Hallvar Thoresen,3,4,2
18.06.1995,1995,11.0,Vålerenga,3,1,Brann,Hallvar Thoresen,0,1,3
25.06.1995,1995,12.0,Brann,0,4,IK Start,Hallvar Thoresen,0,0,4
02.07.1995,1995,13.0,Bodø/Glimt,3,1,Brann,Kjell Tennfjord,0,1,3
16.07.1995,1995,14.0,Brann,4,2,Bodø/Glimt,Kjell Tennfjord,3,4,2
23.07.1995,1995,15.0,IK Start,1,0,Brann,Kjell Tennfjord,0,0,1
30.07.1995,1995,16.0,Brann,2,1,Vålerenga,Kjell Tennfjord,3,2,1
06.08.1995,1995,17.0,Tromsø IL,2,2,Brann,Kjell Tennfjord,1,2,2
20.08.1995,1995,18.0,Brann,1,2,Hødd IL,Kjell Tennfjord,0,1,2
27.08.1995,1995,19.0,HamKam,1,3,Brann,Kjell Tennfjord,3,3,1
02.09.1995,1995,20.0,Brann,1,0,Stabæk Fotball,Kjell Tennfjord,3,1,0
09.09.1995,1995,21.0,Lillestrøm SK,1,3,Brann,Kjell Tennfjord,3,3,1
01.10.1995,1995,22.0,Strindheim,2,2,Brann,Kjell Tennfjord,1,2,2
04.10.1995,1995,23.0,Brann,2,1,Viking FK,Kjell Tennfjord,3,2,1
08.10.1995,1995,24.0,Rosenborg,3,1,Brann,Kjell Tennfjord,0,1,3
15.10.1995,1995,25.0,Brann,1,1,Kongsvinger IL,Kjell Tennfjord,1,1,1
22.10.1995,1995,26.0,Molde FK,4,2,Brann,Kjell Tennfjord,0,2,4
21.04.1996,1996,1.0,Vålerenga,0,2,Brann,Kjell Tennfjord,3,2,0
28.04.1996,1996,2.0,Lillestrøm SK,3,3,Brann,Kjell Tennfjord,1,3,3
01.05.1996,1996,3.0,Brann,1,1,Viking FK,Kjell Tennfjord,1,1,1
05.05.1996,1996,4.0,Rosenborg,10,0,Brann,Kjell Tennfjord,0,0,10
09.05.1996,1996,5.0,Brann,1,1,Moss FK,Kjell Tennfjord,1,1,1
12.05.1996,1996,6.0,IK Start,0,2,Brann,Kjell Tennfjord,3,2,0
16.05.1996,1996,7.0,Brann,1,2,Skeid,Kjell Tennfjord,0,1,2
19.05.1996,1996,8.0,Strømsgodset IF,0,2,Brann,Kjell Tennfjord,3,2,0
27.05.1996,1996,9.0,Brann,2,0,Kongsvinger IL,Kjell Tennfjord,3,2,0
01.06.1996,1996,10.0,Bodø/Glimt,1,3,Brann,Kjell Tennfjord,3,3,1
09.06.1996,1996,11.0,Brann,4,0,Molde FK,Kjell Tennfjord,3,4,0
17.06.1996,1996,12.0,Brann,4,0,Stabæk Fotball,Kjell Tennfjord,3,4,0
30.06.1996,1996,13.0,Stabæk Fotball,4,1,Brann,Kjell Tennfjord,0,1,4
07.07.1996,1996,14.0,Tromsø IL,4,1,Brann,Kjell Tennfjord,0,1,4
14.07.1996,1996,15.0,Brann,2,2,Vålerenga,Kjell Tennfjord,1,2,2
04.08.1996,1996,16.0,Viking FK,3,0,Brann,Kjell Tennfjord,0,0,3
11.08.1996,1996,17.0,Brann,3,3,Rosenborg,Kjell Tennfjord,1,3,3
18.08.1996,1996,18.0,Moss FK,2,1,Brann,Kjell Tennfjord,0,1,2
25.08.1996,1996,19.0,Brann,7,1,IK Start,Kjell Tennfjord,3,7,1
28.08.1996,1996,20.0,Brann,2,2,Lillestrøm SK,Kjell Tennfjord,1,2,2
04.09.1996,1996,21.0,Skeid,1,6,Brann,Kjell Tennfjord,3,6,1
08.09.1996,1996,22.0,Brann,6,2,Strømsgodset IF,Kjell Tennfjord,3,6,2
15.09.1996,1996,23.0,Kongsvinger IL,2,2,Brann,Kjell Tennfjord,1,2,2
29.09.1996,1996,24.0,Brann,2,0,Bodø/Glimt,Kjell Tennfjord,3,2,0
13.10.1996,1996,25.0,Molde FK,3,3,Brann,Kjell Tennfjord,1,3,3
20.10.1996,1996,26.0,Brann,3,3,Tromsø IL,Kjell Tennfjord,1,3,3
13.04.1997,1997,1.0,Rosenborg,1,1,Brann,Kjell Tennfjord,1,1,1
20.04.1997,1997,2.0,Brann,3,1,Bodø / Glimt,Kjell Tennfjord,3,3,1
26.04.1997,1997,3.0,Strømsgodset,0,4,Brann,Kjell Tennfjord,3,4,0
04.05.1997,1997,4.0,Brann,4,2,Skeid,Kjell Tennfjord,3,4,2
08.05.1997,1997,5.0,Molde,0,2,Brann,Kjell Tennfjord,3,2,0
11.05.1997,1997,6.0,Brann,1,4,Viking,Kjell Tennfjord,0,1,4
16.05.1997,1997,7.0,Brann,1,2,Lillestrøm,Kjell Tennfjord,0,1,2
19.05.1997,1997,8.0,Tromsø,3,0,Brann,Kjell Tennfjord,0,0,3
25.05.1997,1997,9.0,Brann,3,1,Kongsvinger,Kjell Tennfjord,3,3,1
01.06.1997,1997,10.0,Brann,0,0,Lyn,Kjell Tennfjord,1,0,0
15.06.1997,1997,11.0,Haugesund,0,1,Brann,Kjell Tennfjord,3,1,0
22.06.1997,1997,12.0,Sogndal,1,0,Brann,Kjell Tennfjord,0,0,1
29.06.1997,1997,13.0,Brann,1,2,Rosenborg,Kjell Tennfjord,0,1,2
02.07.1997,1997,14.0,Brann,5,1,Stabæk,Kjell Tennfjord,3,5,1
06.07.1997,1997,15.0,Bodø / Glimt,0,3,Brann,Kjell Tennfjord,3,3,0
13.07.1997,1997,16.0,Brann,4,1,Strømsgodset,Kjell Tennfjord,3,4,1
27.07.1997,1997,17.0,Skeid,1,1,Brann,Kjell Tennfjord,1,1,1
03.08.1997,1997,18.0,Brann,0,4,Molde,Kjell Tennfjord,0,0,4
09.08.1997,1997,19.0,Viking,0,0,Brann,Kjell Tennfjord,1,0,0
23.08.1997,1997,20.0,Lillestrøm,2,2,Brann,Kjell Tennfjord,1,2,2
31.08.1997,1997,21.0,Brann,4,3,Tromsø,Kjell Tennfjord,3,4,3
14.09.1997,1997,22.0,Kongsvinger,4,6,Brann,Kjell Tennfjord,3,6,4
21.09.1997,1997,23.0,Brann,4,1,Sogndal,Kjell Tennfjord,3,4,1
05.10.1997,1997,24.0,Lyn,1,5,Brann,Kjell Tennfjord,3,5,1
12.10.1997,1997,25.0,Brann,3,2,Haugesund,Kjell Tennfjord,3,3,2
19.10.1997,1997,26.0,Stabæk,0,1,Brann,Kjell Tennfjord,3,1,0
13.04.1998,1998,1.0,Brann,0,1,Moss,Kjell Tennfjord,0,0,1
19.04.1998,1998,2.0,Kongsvinger,2,2,Brann,Kjell Tennfjord,1,2,2
26.04.1998,1998,3.0,Brann,2,2,Molde,Kjell Tennfjord,1,2,2
30.04.1998,1998,4.0,Vålerenga,3,2,Brann,Kjell Tennfjord,0,2,3
04.05.1998,1998,5.0,Brann,0,0,Rosenborg,Kjell Tennfjord,1,0,0
07.05.1998,1998,6.0,Tromsø,1,0,Brann,Kjell Tennfjord,0,0,1
10.05.1998,1998,7.0,Brann,0,1,Strømsgodset,Kjell Tennfjord,0,0,1
16.05.1998,1998,8.0,Brann,1,4,Viking,Kjell Tennfjord,0,1,4
07.06.1998,1998,9.0,Brann,2,2,Haugesund,Kjell Tennfjord,1,2,2
01.07.1998,1998,10.0,Lillestrøm,1,1,Brann,Kjell Tennfjord,1,1,1
05.07.1998,1998,11.0,Sogndal,2,1,Brann,Kjell Tennfjord,0,1,2
09.07.1998,1998,12.0,Brann,2,0,Stabæk,Harald Aabrekk,3,2,0
12.07.1998,1998,13.0,Bodø / Glimt,2,2,Brann,Harald Aabrekk,1,2,2
19.07.1998,1998,14.0,Moss,3,0,Brann,Harald Aabrekk,0,0,3
26.07.1998,1998,15.0,Brann,3,0,Kongsvinger,Harald Aabrekk,3,3,0
01.08.1998,1998,16.0,Molde,2,2,Brann,Harald Aabrekk,1,2,2
08.08.1998,1998,17.0,Brann,3,0,Vålerenga,Harald Aabrekk,3,3,0
15.08.1998,1998,18.0,Rosenborg,4,2,Brann,Harald Aabrekk,0,2,4
22.08.1998,1998,19.0,Brann,3,1,Tromsø,Harald Aabrekk,3,3,1
29.08.1998,1998,20.0,Strømsgodset,0,2,Brann,Harald Aabrekk,3,2,0
12.09.1998,1998,21.0,Viking,2,3,Brann,Harald Aabrekk,3,3,2
20.09.1998,1998,22.0,Haugesund,2,3,Brann,Harald Aabrekk,3,3,2
26.09.1998,1998,23.0,Brann,1,2,Lillestrøm,Harald Aabrekk,0,1,2
04.10.1998,1998,24.0,Brann,4,0,Sogndal,Harald Aabrekk,3,4,0
18.10.1998,1998,25.0,Stabæk,1,1,Brann,Harald Aabrekk,1,1,1
25.10.1998,1998,26.0,Brann,2,1,Bodø / Glimt,Harald Aabrekk,3,2,1
11.04.1999,1999,1.0,Brann,1,3,Lillestrøm,Harald Aabrekk,0,1,3
18.04.1999,1999,2.0,Tromsø,5,0,Brann,Harald Aabrekk,0,0,5
23.04.1999,1999,3.0,Brann,5,4,Kongsvinger,Harald Aabrekk,3,5,4
02.05.1999,1999,4.0,Bodø / Glimt,1,3,Brann,Harald Aabrekk,3,3,1
09.05.1999,1999,5.0,Brann,2,1,Vålerenga,Harald Aabrekk,3,2,1
13.05.1999,1999,6.0,Strømsgodset,1,2,Brann,Harald Aabrekk,3,2,1
16.05.1999,1999,7.0,Brann,0,1,Molde,Harald Aabrekk,0,0,1
24.05.1999,1999,8.0,Brann,0,1,Skeid,Harald Aabrekk,0,0,1
13.06.1999,1999,9.0,Brann,1,0,Viking,Harald Aabrekk,3,1,0
17.06.1999,1999,10.0,Stabæk,2,3,Brann,Harald Aabrekk,3,3,2
20.06.1999,1999,11.0,Brann,3,0,Odd,Harald Aabrekk,3,3,0
27.06.1999,1999,12.0,Moss,0,2,Brann,Harald Aabrekk,3,2,0
07.07.1999,1999,13.0,Rosenborg,2,3,Brann,Harald Aabrekk,3,3,2
22.07.1999,1999,14.0,Lillestrøm,2,0,Brann,Harald Aabrekk,0,0,2
25.07.1999,1999,15.0,Kongsvinger,0,2,Brann,Harald Aabrekk,3,2,0
01.08.1999,1999,16.0,Brann,0,2,Bodø / Glimt,Harald Aabrekk,0,0,2
08.08.1999,1999,17.0,Vålerenga,1,2,Brann,Harald Aabrekk,3,2,1
15.08.1999,1999,18.0,Brann,2,2,Strømsgodset,Harald Aabrekk,1,2,2
22.08.1999,1999,19.0,Molde,1,3,Brann,Harald Aabrekk,3,3,1
25.08.1999,1999,20.0,Brann,3,1,Tromsø,Harald Aabrekk,3,3,1
29.08.1999,1999,21.0,Skeid,1,2,Brann,Harald Aabrekk,3,2,1
11.09.1999,1999,22.0,Brann,2,1,Rosenborg,Harald Aabrekk,3,2,1
18.09.1999,1999,23.0,Viking,2,0,Brann,Harald Aabrekk,0,0,2
13.10.1999,1999,24.0,Brann,2,3,Stabæk,Harald Aabrekk,0,2,3
17.10.1999,1999,25.0,Odd,3,1,Brann,Harald Aabrekk,0,1,3
23.10.1999,1999,26.0,Brann,1,0,Moss,Harald Aabrekk,3,1,0
09.04.2000,2000,1.0,Brann,4,1,Viking,Teitur Thordarson,3,4,1
16.04.2000,2000,2.0,Rosenborg,4,4,Brann,Teitur Thordarson,1,4,4
19.04.2000,2000,3.0,Brann,0,0,Odd,Teitur Thordarson,1,0,0
29.04.2000,2000,4.0,Start,0,2,Brann,Teitur Thordarson,3,2,0
04.05.2000,2000,5.0,Brann,2,0,Tromsø,Teitur Thordarson,3,2,0
07.05.2000,2000,6.0,Bodø / Glimt,3,2,Brann,Teitur Thordarson,0,2,3
10.05.2000,2000,7.0,Brann,3,1,Vålerenga,Teitur Thordarson,3,3,1
13.05.2000,2000,8.0,Bryne,0,3,Brann,Teitur Thordarson,3,3,0
16.05.2000,2000,9.0,Brann,2,0,Moss,Teitur Thordarson,3,2,0
21.05.2000,2000,10.0,Stabæk,7,1,Brann,Teitur Thordarson,0,1,7
02.07.2000,2000,11.0,Haugesund,2,4,Brann,Teitur Thordarson,3,4,2
05.07.2000,2000,12.0,Brann,0,2,Lillestrøm,Teitur Thordarson,0,0,2
16.07.2000,2000,13.0,Viking,2,6,Brann,Teitur Thordarson,3,6,2
23.07.2000,2000,14.0,Brann,1,1,Rosenborg,Teitur Thordarson,1,1,1
26.07.2000,2000,15.0,Molde,1,3,Brann,Teitur Thordarson,3,3,1
30.07.2000,2000,16.0,Odd,2,0,Brann,Teitur Thordarson,0,0,2
06.08.2000,2000,17.0,Tromsø,4,1,Brann,Teitur Thordarson,0,1,4
13.08.2000,2000,18.0,Brann,0,2,Bodø / Glimt,Teitur Thordarson,0,0,2
20.08.2000,2000,19.0,Vålerenga,0,1,Brann,Teitur Thordarson,3,1,0
27.08.2000,2000,20.0,Brann,0,0,Bryne,Teitur Thordarson,1,0,0
09.09.2000,2000,21.0,Moss,3,2,Brann,Teitur Thordarson,0,2,3
17.09.2000,2000,22.0,Brann,2,2,Stabæk,Teitur Thordarson,1,2,2
20.09.2000,2000,23.0,Brann,2,1,Start,Teitur Thordarson,3,2,1
01.10.2000,2000,24.0,Brann,2,1,Haugesund,Teitur Thordarson,3,2,1
15.10.2000,2000,25.0,Lillestrøm,1,2,Brann,Teitur Thordarson,3,2,1
22.10.2000,2000,26.0,Brann,4,0,Molde,Teitur Thordarson,3,4,0
16.04.2001,2001,1.0,Brann,1,0,Moss,Teitur Thordarson,3,1,0
22.04.2001,2001,2.0,Tromsø,2,0,Brann,Teitur Thordarson,0,0,2
29.04.2001,2001,3.0,Brann,3,4,Bryne,Teitur Thordarson,0,3,4
02.05.2001,2001,4.0,Strømsgodset,2,6,Brann,Teitur Thordarson,3,6,2
06.05.2001,2001,5.0,Brann,2,1,Sogndal,Teitur Thordarson,3,2,1
13.05.2001,2001,6.0,Odd,2,2,Brann,Teitur Thordarson,1,2,2
16.05.2001,2001,7.0,Brann,2,1,Lyn,Teitur Thordarson,3,2,1
20.05.2001,2001,8.0,Lillestrøm,2,1,Brann,Teitur Thordarson,0,1,2
24.05.2001,2001,9.0,Brann,8,1,Stabæk,Teitur Thordarson,3,8,1
10.06.2001,2001,10.0,Brann,2,2,Bodø / Glimt,Teitur Thordarson,1,2,2
17.06.2001,2001,11.0,Viking,0,2,Brann,Teitur Thordarson,3,2,0
22.06.2001,2001,12.0,Brann,0,0,Molde,Teitur Thordarson,1,0,0
01.07.2001,2001,13.0,Rosenborg,3,3,Brann,Teitur Thordarson,1,3,3
08.07.2001,2001,14.0,Moss,2,3,Brann,Teitur Thordarson,3,3,2
22.07.2001,2001,15.0,Brann,3,1,Tromsø,Teitur Thordarson,3,3,1
29.07.2001,2001,16.0,Bryne,0,3,Brann,Teitur Thordarson,3,3,0
05.08.2001,2001,17.0,Brann,6,2,Strømsgodset,Teitur Thordarson,3,6,2
12.08.2001,2001,18.0,Sogndal,4,3,Brann,Teitur Thordarson,0,3,4
19.08.2001,2001,19.0,Brann,3,1,Odd,Teitur Thordarson,3,3,1
26.08.2001,2001,20.0,Lyn,3,2,Brann,Teitur Thordarson,0,2,3
09.09.2001,2001,21.0,Brann,1,1,Lillestrøm,Teitur Thordarson,1,1,1
16.09.2001,2001,22.0,Stabæk,2,1,Brann,Teitur Thordarson,0,1,2
28.09.2001,2001,23.0,Bodø / Glimt,5,1,Brann,Teitur Thordarson,0,1,5
12.10.2001,2001,24.0,Brann,0,1,Viking,Teitur Thordarson,0,0,1
21.10.2001,2001,25.0,Molde,0,3,Brann,Teitur Thordarson,3,3,0
28.10.2001,2001,26.0,Brann,2,6,Rosenborg,Teitur Thordarson,0,2,6
13.04.2002,2002,1.0,Molde,2,0,Brann,Teitur Thordarson,0,0,2
21.04.2002,2002,2.0,Brann,0,1,Moss,Teitur Thordarson,0,0,1
28.04.2002,2002,3.0,Start,2,2,Brann,Teitur Thordarson,1,2,2
01.05.2002,2002,4.0,Brann,0,4,Vålerenga,Teitur Thordarson,0,0,4
05.05.2002,2002,5.0,Bodø / Glimt,0,1,Brann,Teitur Thordarson,3,1,0
09.05.2002,2002,6.0,Brann,4,1,Stabæk,Teitur Thordarson,3,4,1
12.05.2002,2002,7.0,Sogndal,2,3,Brann,Teitur Thordarson,3,3,2
16.05.2002,2002,8.0,Brann,1,2,Bryne,Teitur Thordarson,0,1,2
26.05.2002,2002,9.0,Brann,1,3,Odd,Teitur Thordarson,0,1,3
02.06.2002,2002,10.0,Viking,4,1,Brann,Teitur Thordarson,0,1,4
09.06.2002,2002,11.0,Brann,1,1,Lyn,Teitur Thordarson,1,1,1
16.06.2002,2002,12.0,Lillestrøm,0,1,Brann,Teitur Thordarson,3,1,0
30.06.2002,2002,13.0,Brann,4,1,Molde,Teitur Thordarson,3,4,1
20.07.2002,2002,14.0,Moss,0,1,Brann,Teitur Thordarson,3,1,0
01.08.2002,2002,15.0,Brann,2,3,Rosenborg,Teitur Thordarson,0,2,3
05.08.2002,2002,16.0,Vålerenga,1,1,Brann,Teitur Thordarson,1,1,1
12.08.2002,2002,17.0,Brann,1,3,Bodø / Glimt,Teitur Thordarson,0,1,3
18.08.2002,2002,18.0,Stabæk,1,0,Brann,Teitur Thordarson,0,0,1
25.08.2002,2002,19.0,Brann,2,3,Sogndal,Teitur Thordarson,0,2,3
01.09.2002,2002,20.0,Bryne,4,0,Brann,Teitur Thordarson,0,0,4
11.09.2002,2002,21.0,Brann,3,1,Start,Teitur Thordarson,3,3,1
16.09.2002,2002,22.0,Odd,2,0,Brann,Teitur Thordarson,0,0,2
30.09.2002,2002,23.0,Brann,2,3,Viking,Teitur Thordarson,0,2,3
06.10.2002,2002,24.0,Lyn,2,3,Brann,Teitur Thordarson,3,3,2
20.10.2002,2002,25.0,Brann,1,2,Lillestrøm,Teitur Thordarson,0,1,2
27.10.2002,2002,26.0,Rosenborg,4,0,Brann,Teitur Thordarson,0,0,4
14.04.2003,2003,1.0,Lyn,0,0,Brann,Mons Ivar Mjelde,1,0,0
22.04.2003,2003,2.0,Brann,1,6,Rosenborg,Mons Ivar Mjelde,0,1,6
26.04.2003,2003,3.0,Aalesund,3,3,Brann,Mons Ivar Mjelde,1,3,3
05.05.2003,2003,4.0,Brann,0,3,Viking,Mons Ivar Mjelde,0,0,3
11.05.2003,2003,5.0,Sogndal,2,0,Brann,Mons Ivar Mjelde,0,0,2
16.05.2003,2003,6.0,Brann,3,0,Odd,Mons Ivar Mjelde,3,3,0
25.05.2003,2003,7.0,Lillestrøm,0,0,Brann,Mons Ivar Mjelde,1,0,0
29.05.2003,2003,8.0,Brann,0,2,Bodø / Glimt,Mons Ivar Mjelde,0,0,2
02.06.2003,2003,9.0,Molde,3,0,Brann,Mons Ivar Mjelde,0,0,3
15.06.2003,2003,10.0,Brann,3,3,Stabæk,Mons Ivar Mjelde,1,3,3
23.06.2003,2003,11.0,Bryne,1,1,Brann,Mons Ivar Mjelde,1,1,1
29.06.2003,2003,12.0,Brann,0,1,Tromsø,Mons Ivar Mjelde,0,0,1
21.07.2003,2003,13.0,Vålerenga,0,2,Brann,Mons Ivar Mjelde,3,2,0
27.07.2003,2003,14.0,Brann,4,1,Lyn,Mons Ivar Mjelde,3,4,1
03.08.2003,2003,15.0,Rosenborg,2,2,Brann,Mons Ivar Mjelde,1,2,2
10.08.2003,2003,16.0,Brann,3,0,Aalesund,Mons Ivar Mjelde,3,3,0
16.08.2003,2003,17.0,Viking,3,3,Brann,Mons Ivar Mjelde,1,3,3
25.08.2003,2003,18.0,Brann,6,1,Sogndal,Mons Ivar Mjelde,3,6,1
31.08.2003,2003,19.0,Odd,1,3,Brann,Mons Ivar Mjelde,3,3,1
15.09.2003,2003,20.0,Brann,1,3,Lillestrøm,Mons Ivar Mjelde,0,1,3
21.09.2003,2003,21.0,Bodø / Glimt,3,0,Brann,Mons Ivar Mjelde,0,0,3
28.09.2003,2003,22.0,Brann,3,2,Molde,Mons Ivar Mjelde,3,3,2
04.10.2003,2003,23.0,Stabæk,6,0,Brann,Mons Ivar Mjelde,0,0,6
19.10.2003,2003,24.0,Brann,3,0,Bryne,Mons Ivar Mjelde,3,3,0
26.10.2003,2003,25.0,Tromsø,0,1,Brann,Mons Ivar Mjelde,3,1,0
01.11.2003,2003,26.0,Brann,3,1,Vålerenga,Mons Ivar Mjelde,3,3,1
12.04.2004,2004,1.0,Rosenborg,1,0,Brann,Mons Ivar Mjelde,0,0,1
18.04.2004,2004,2.0,Brann,3,0,Molde,Mons Ivar Mjelde,3,3,0
25.04.2004,2004,3.0,Vålerenga,1,0,Brann,Mons Ivar Mjelde,0,0,1
02.05.2004,2004,4.0,Brann,1,1,Odd,Mons Ivar Mjelde,1,1,1
09.05.2004,2004,5.0,Sogndal,3,1,Brann,Mons Ivar Mjelde,0,1,3
16.05.2004,2004,6.0,Brann,2,0,HamKam,Mons Ivar Mjelde,3,2,0
20.05.2004,2004,7.0,Stabæk,2,1,Brann,Mons Ivar Mjelde,0,1,2
23.05.2004,2004,8.0,Brann,3,1,Bodø / Glimt,Mons Ivar Mjelde,3,3,1
31.05.2004,2004,9.0,Lyn,1,2,Brann,Mons Ivar Mjelde,3,2,1
06.06.2004,2004,10.0,Brann,1,0,Tromsø,Mons Ivar Mjelde,3,1,0
