region_id,region,ssb_id,ssb,district_id,district,municipality_id,municipality,county_id,county
030100,Oslo i alt,030100aa,Oslo i alt,030100,Oslo i alt,0301,Oslo,03,Oslo
030101,Gamle Oslo,030101a,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo
030102,Grünerløkka,030102a,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo
030103,Sagene,030103a,Sagene,030103,Sagene,0301,Oslo,03,Oslo
030104,St. Hanshaugen,030104a,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo
030105,Frogner,030105a,Frogner,030105,Frogner,0301,Oslo,03,Oslo
030106,Ullern,030106a,Ullern,030106,Ullern,0301,Oslo,03,Oslo
030107,Vestre Aker,030107a,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo
030108,Nordre Aker,030108a,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo
030109,Bjerke,030109a,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo
030110,Grorud,030110a,Grorud,030110,Grorud,0301,Oslo,03,Oslo
030111,Stovner,030111a,Stovner,030111,Stovner,0301,Oslo,03,Oslo
030112,Alna,030112a,Alna,030112,Alna,0301,Oslo,03,Oslo
030113,Østensjø,030113a,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo
030114,Nordstrand,030114a,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo
030115,Søndre Nordstrand,030115a,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo
030116,Sentrum,030116a,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo
030117,Marka,030117a,Marka,030117,Marka,0301,Oslo,03,Oslo
030199,Uoppgitt bydel Oslo,030199a,Uoppgitt bydel Oslo,030199,Uoppgitt bydel Oslo,0301,Oslo,03,Oslo
110300,Stavanger i alt,110300a,Stavanger i alt,110300,Stavanger i alt,1103,Stavanger,11,Rogaland
110301,Hundvåg,110301,Hundvåg,110301,Hundvåg,1103,Stavanger,11,Rogaland
110302,Tasta,110302,Tasta,110302,Tasta,1103,Stavanger,11,Rogaland
110303,Eiganes/Våland,110303,Eiganes/Våland,110303,Eiganes/Våland,1103,Stavanger,11,Rogaland
110304,Madla,110304,Madla,110304,Madla,1103,Stavanger,11,Rogaland
110305,Storhaug,110305,Storhaug,110305,Storhaug,1103,Stavanger,11,Rogaland
110306,Hillevåg,110306,Hillevåg,110306,Hillevåg,1103,Stavanger,11,Rogaland
110307,Hinna,110307,Hinna,110307,Hinna,1103,Stavanger,11,Rogaland
110308,Finnøy,110308,Finnøy,110308,Finnøy,1103,Stavanger,11,Rogaland
110309,Rennesøy,110309,Rennesøy,110309,Rennesøy,1103,Stavanger,11,Rogaland
110399,Uoppgitt bydel Stavanger,110399,Uoppgitt bydel Stavanger,110399,Uoppgitt bydel Stavanger,1103,Stavanger,11,Rogaland
460100,Bergen i alt,460100,Bergen i alt,460100,Bergen i alt,4601,Bergen,46,Vestland
460101,Arna,460101,Arna,460101,Arna,4601,Bergen,46,Vestland
460102,Bergenhus,460102,Bergenhus,460102,Bergenhus,4601,Bergen,46,Vestland
460103,Fana,460103,Fana,460103,Fana,4601,Bergen,46,Vestland
460104,Fyllingsdalen,460104,Fyllingsdalen,460104,Fyllingsdalen,4601,Bergen,46,Vestland
460105,Laksevåg,460105,Laksevåg,460105,Laksevåg,4601,Bergen,46,Vestland
460106,Ytrebygda,460106,Ytrebygda,460106,Ytrebygda,4601,Bergen,46,Vestland
460107,Årstad,460107,Årstad,460107,Årstad,4601,Bergen,46,Vestland
460108,Åsane,460108,Åsane,460108,Åsane,4601,Bergen,46,Vestland
460199,Uoppgitt bydel Bergen,460199,Uoppgitt bydel Bergen,460199,Uoppgitt bydel Bergen,4601,Bergen,46,Vestland
500100,Trondheim i alt,500100,Trondheim i alt,500100,Trondheim i alt,5001,Trondheim,50,Trøndelag
500101,Midtbyen,500101,Midtbyen,500101,Midtbyen,5001,Trondheim,50,Trøndelag
500102,Østbyen,500102,Østbyen,500102,Østbyen,5001,Trondheim,50,Trøndelag
500103,Lerkendal,500103,Lerkendal,500103,Lerkendal,5001,Trondheim,50,Trøndelag
500104,Heimdal,500104,Heimdal,500104,Heimdal,5001,Trondheim,50,Trøndelag
500199,Uoppgitt bydel Trondheim,500199,Uoppgitt bydel Trondheim,500199,Uoppgitt bydel Trondheim,5001,Trondheim,50,Trøndelag
3001,Halden,K-3001,Halden,,,3001,Halden,30,Viken
3002,Moss,K-3002,Moss,,,3002,Moss,30,Viken
3003,Sarpsborg,K-3003,Sarpsborg,,,3003,Sarpsborg,30,Viken
3004,Fredrikstad,K-3004,Fredrikstad,,,3004,Fredrikstad,30,Viken
3005,Drammen,K-3005,Drammen,,,3005,Drammen,30,Viken
3006,Kongsberg,K-3006,Kongsberg,,,3006,Kongsberg,30,Viken
3007,Ringerike,K-3007,Ringerike,,,3007,Ringerike,30,Viken
3011,Hvaler,K-3011,Hvaler,,,3011,Hvaler,30,Viken
3012,Aremark,K-3012,Aremark,,,3012,Aremark,30,Viken
3013,Marker,K-3013,Marker,,,3013,Marker,30,Viken
3014,Indre Østfold,K-3014,Indre Østfold,,,3014,Indre Østfold,30,Viken
3015,Skiptvet,K-3015,Skiptvet,,,3015,Skiptvet,30,Viken
3016,Rakkestad,K-3016,Rakkestad,,,3016,Rakkestad,30,Viken
3017,Råde,K-3017,Råde,,,3017,Råde,30,Viken
3018,Våler (Viken),K-3018,Våler (Viken),,,3018,Våler (Viken),30,Viken
3019,Vestby,K-3019,Vestby,,,3019,Vestby,30,Viken
3020,Nordre Follo,K-3020,Nordre Follo,,,3020,Nordre Follo,30,Viken
3021,Ås,K-3021,Ås,,,3021,Ås,30,Viken
3022,Frogn,K-3022,Frogn,,,3022,Frogn,30,Viken
3023,Nesodden,K-3023,Nesodden,,,3023,Nesodden,30,Viken
3024,Bærum,K-3024,Bærum,,,3024,Bærum,30,Viken
3025,Asker,K-3025,Asker,,,3025,Asker,30,Viken
3026,Aurskog-Høland,K-3026,Aurskog-Høland,,,3026,Aurskog-Høland,30,Viken
3027,Rælingen,K-3027,Rælingen,,,3027,Rælingen,30,Viken
3028,Enebakk,K-3028,Enebakk,,,3028,Enebakk,30,Viken
3029,Lørenskog,K-3029,Lørenskog,,,3029,Lørenskog,30,Viken
3030,Lillestrøm,K-3030,Lillestrøm,,,3030,Lillestrøm,30,Viken
3031,Nittedal,K-3031,Nittedal,,,3031,Nittedal,30,Viken
3032,Gjerdrum,K-3032,Gjerdrum,,,3032,Gjerdrum,30,Viken
3033,Ullensaker,K-3033,Ullensaker,,,3033,Ullensaker,30,Viken
3034,Nes,K-3034,Nes,,,3034,Nes,30,Viken
3035,Eidsvoll,K-3035,Eidsvoll,,,3035,Eidsvoll,30,Viken
3036,Nannestad,K-3036,Nannestad,,,3036,Nannestad,30,Viken
3037,Hurdal,K-3037,Hurdal,,,3037,Hurdal,30,Viken
3038,Hole,K-3038,Hole,,,3038,Hole,30,Viken
3039,Flå,K-3039,Flå,,,3039,Flå,30,Viken
3040,Nesbyen,K-3040,Nesbyen,,,3040,Nesbyen,30,Viken
3041,Gol,K-3041,Gol,,,3041,Gol,30,Viken
