Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019,Fylkesnr. 2020,Fylkesnavn 2020,Kommunenr. 2020,Kommunenavn 2020
01,Østfold,0101,Halden,30,Viken,3001,Halden
01,Østfold,0104,Moss,30,Viken,3002,Moss
01,Østfold,0105,Sarpsborg,30,Viken,3003,Sarpsborg
01,Østfold,0106,Fredrikstad,30,Viken,3004,Fredrikstad
01,Østfold,0111,Hvaler,30,Viken,3011,Hvaler
01,Østfold,0118,Aremark,30,Viken,3012,Aremark
01,Østfold,0119,Marker,30,Viken,3013,Marker
01,Østfold,0121,Rømskog,30,Viken,3026,Aurskog-Høland
01,Østfold,0122,Trøgstad,30,Viken,3014,Indre Østfold
01,Østfold,0123,Spydeberg,30,Viken,3014,Indre Østfold
01,Østfold,0124,Askim,30,Viken,3014,Indre Østfold
01,Østfold,0125,Eidsberg,30,Viken,3014,Indre Østfold
01,Østfold,0127,Skiptvet,30,Viken,3015,Skiptvet
01,Østfold,0128,Rakkestad,30,Viken,3016,Rakkestad
01,Østfold,0135,Råde,30,Viken,3017,Råde
01,Østfold,0136,Rygge,30,Viken,3002,Moss
01,Østfold,0137,Våler (Østf.),30,Viken,3018,Våler (Viken)
01,Østfold,0138,Hobøl,30,Viken,3014,Indre Østfold
02,Akershus,0211,Vestby,30,Viken,3019,Vestby
02,Akershus,0213,Ski,30,Viken,3020,Nordre Follo
02,Akershus,0214,Ås,30,Viken,3021,Ås
02,Akershus,0215,Frogn,30,Viken,3022,Frogn
02,Akershus,0216,Nesodden,30,Viken,3023,Nesodden
02,Akershus,0217,Oppegård,30,Viken,3020,Nordre Follo
02,Akershus,0219,Bærum,30,Viken,3024,Bærum
02,Akershus,0220,Asker,30,Viken,3025,Asker
02,Akershus,0221,Aurskog-Høland,30,Viken,3026,Aurskog-Høland
02,Akershus,0226,Sørum,30,Viken,3030,Lillestrøm
02,Akershus,0227,Fet,30,Viken,3030,Lillestrøm
02,Akershus,0228,Rælingen,30,Viken,3027,Rælingen
02,Akershus,0229,Enebakk,30,Viken,3028,Enebakk
