kommunenummer,kommunenavn,fylkesnummer,fylkesnavn,siste_endret
0301,Oslo,03,Oslo,1925
1101,Eigersund,11,Rogaland,1965
1103,Stavanger,11,Rogaland,1919
1106,Haugesund,11,Rogaland,1919
1108,Sandnes,11,Rogaland,2020
1111,Sokndal,11,Rogaland,1919
1112,Lund,11,Rogaland,1919
1114,Bjerkreim,11,Rogaland,1919
1119,Hå,11,Rogaland,1964
1120,Klepp,11,Rogaland,1919
1121,Time,11,Rogaland,1919
1122,Gjesdal,11,Rogaland,1919
1124,Sola,11,Rogaland,1931
1127,Randaberg,11,Rogaland,1923
1130,Strand,11,Rogaland,1919
1133,Hjelmeland,11,Rogaland,1919
1134,Suldal,11,Rogaland,1919
1135,Sauda,11,Rogaland,1919
1144,Kvitsøy,11,Rogaland,1923
1145,Bokn,11,Rogaland,1919
1146,Tysvær,11,Rogaland,1919
1149,Karmøy,11,Rogaland,1965
1151,Utsira,11,Rogaland,1925
1160,Vindafjord,11,Rogaland,2006
1505,Kristiansund,15,Møre og Romsdal,2008
1506,Molde,15,Møre og Romsdal,2020
1508,Ålesund,15,Møre og Romsdal,2024
1511,Vanylven,15,Møre og Romsdal,1936
1514,Sande,15,Møre og Romsdal,2020
1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,1936
1516,Ulstein,15,Møre og Romsdal,1936
1517,Hareid,15,Møre og Romsdal,1936
1520,Ørsta,15,Møre og Romsdal,1936
1525,Stranda,15,Møre og Romsdal,1936
1528,Sykkylven,15,Møre og Romsdal,1936
1531,Sula,15,Møre og Romsdal,1977
1532,Giske,15,Møre og Romsdal,1936
1535,Vestnes,15,Møre og Romsdal,1936
1539,Rauma,15,Møre og Romsdal,1964
1547,Aukra,15,Møre og Romsdal,1965
1554,Averøy,15,Møre og Romsdal,1964
1557,Gjemnes,15,Møre og Romsdal,1936
1560,Tingvoll,15,Møre og Romsdal,1936
1563,Sunndal,15,Møre og Romsdal,1936
1566,Surnadal,15,Møre og Romsdal,1936
1573,Smøla,15,Møre og Romsdal,1960
1576,Aure,15,Møre og Romsdal,2006
1577,Volda,15,Møre og Romsdal,2020
1578,Fjord,15,Møre og Romsdal,2020
1579,Hustadvika,15,Møre og Romsdal,2020
1580,Haram,15,Møre og Romsdal,2024
1804,Bodø,18,Nordland,2022
1806,Narvik,18,Nordland,2022
1811,Bindal,18,Nordland,2022
1812,Sømna,18,Nordland,2022
1813,Brønnøy,18,Nordland,2022
1815,Vega,18,Nordland,2022
1816,Vevelstad,18,Nordland,2022
1818,Herøy (Nordland),18,Nordland,2022
1820,Alstahaug,18,Nordland,2022
1822,Leirfjord,18,Nordland,2022
1824,Vefsn,18,Nordland,2022
1825,Grane,18,Nordland,2022
1826,Aarborte,18,Nordland,2022
1827,Dønna,18,Nordland,2022
1828,Nesna,18,Nordland,2022
1832,Hemnes,18,Nordland,2022
1833,Rana,18,Nordland,2024
1834,Lurøy,18,Nordland,2022
1835,Træna,18,Nordland,2022
1836,Rødøy,18,Nordland,2022
1837,Meløy,18,Nordland,2022
1838,Gildeskål,18,Nordland,2022
1839,Beiarn,18,Nordland,2022
1840,Saltdal,18,Nordland,2022
1841,Fauske,18,Nordland,2022
1845,Sørfold,18,Nordland,2024
1848,Steigen,18,Nordland,2022
1851,Lødingen,18,Nordland,2022
1853,Evenes,18,Nordland,2022
1856,Røst,18,Nordland,2022
