from_year,to_year,level,from_id,to_id,change_type,source_file
2020,2021,county,01,30,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,02,30,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,04,34,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,05,34,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,06,33,renumbered,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,07,38,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,08,38,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,09,42,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,10,42,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,12,46,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,14,46,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,19,54,merge,data/raw/region-transitions/fylker_2020_2021.json
2020,2021,county,20,54,merge,data/raw/region-transitions/fylker_2020_2021.json
2021,2025,county,01,31,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,02,32,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,06,33,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,07,39,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,08,40,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,19,55,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2021,2025,county,20,56,renumbered,data/raw/region-transitions/fylker_2021_2025.json
2024,2025,county,30,31,split,data/raw/region-transitions/fylker_2024_2025.json
2024,2025,county,30,32,split,data/raw/region-transitions/fylker_2024_2025.json
2024,2025,county,30,33,split,data/raw/region-transitions/fylker_2024_2025.json
2024,2025,county,38,39,split,data/raw/region-transitions/fylker_2024_2025.json
2024,2025,county,38,40,split,data/raw/region-transitions/fylker_2024_2025.json
